zip3,market_type,fc,pmf_alloc,distance_bucket
468,Secondary,GA-303,0.00107065624324815,301-600
469,Primary,GA-303,0.00045511870095954,301-600
470,Primary,GA-303,0.00034787280647592,301-600
471,Primary,GA-303,0.0005353276716236699,301-600
472,Primary,GA-303,0.00042808177713996005,301-600
473,Primary,GA-303,0.0005885006184690299,301-600
474,Primary,GA-303,0.00042808177713996005,301-600
475,Secondary,GA-303,0.00026766383581179,301-600
476,Secondary,GA-303,0.0005353276716236699,301-600
477,Secondary,GA-303,0.0006425735661072901,301-600
478,Primary,GA-303,0.00048125472398541,301-600
479,Primary,GA-303,0.00066870958913307,301-600
480,Primary,GA-303,0.003906812541901771,601-1000
481,Primary,GA-303,0.00521809569714222,301-600
482,Primary,GA-303,0.0024882834921777,301-600
483,Primary,GA-303,0.00294340309313805,601-1000
484,Primary,GA-303,0.0018466108268641202,601-1000
485,Primary,GA-303,0.0007489185597972,601-1000
486,Secondary,GA-303,0.00034787280647592,601-1000
487,Secondary,GA-303,0.00034787280647592,601-1000
488,Primary,GA-303,0.001364455202085,601-1000
489,Primary,GA-303,0.00045511870095954,601-1000
490,Secondary,GA-303,0.0022476565801854,301-600
491,Primary,GA-303,0.00037490973029541,301-600
492,Primary,GA-303,0.00147170109656862,301-600
493,Secondary,GA-303,0.0006425735661072901,601-1000
494,Secondary,GA-303,0.0015789469910522402,601-1000
495,Secondary,GA-303,0.00093637342494495,601-1000
496,Secondary,GA-303,0.0005082916478049,601-1000
497,Secondary,GA-303,0.00029470075963128,601-1000
498,Secondary,GA-303,0.00034787280647592,601-1000
499,Secondary,GA-303,0.00013338101750859,601-1000
500,Secondary,GA-303,0.0006957465129526501,601-1000
501,Secondary,GA-303,0.00021449178896723999,601-1000
502,Secondary,GA-303,0.0005885006184690299,601-1000
503,Secondary,GA-303,0.0005623645954431599,601-1000
504,Secondary,GA-303,0.00042808177713996005,601-1000
505,Secondary,GA-303,0.00029470075963128,601-1000
506,Secondary,GA-303,0.00034787280647592,601-1000
507,Secondary,GA-303,0.0002406269119923,601-1000
508,Secondary,GA-303,0.00034787280647592,601-1000
510,Secondary,GA-303,0.00010724589448361999,601-1000
511,Secondary,GA-303,0.0002406269119923,601-1000
513,Secondary,GA-303,0.00016041794132817,601-1000
514,Secondary,GA-303,5.31900468604313e-05,601-1000
515,Secondary,GA-303,0.00045511870095954,601-1000
520,Secondary,GA-303,0.0002406269119923,601-1000
521,Secondary,GA-303,2.700002378702096e-05,601-1000
522,Secondary,GA-303,0.00029470075963128,601-1000
523,Secondary,GA-303,0.00048125472398541,601-1000
524,Secondary,GA-303,0.00029470075963128,601-1000
525,Secondary,GA-303,8.019007064745225e-05,601-1000
526,Secondary,GA-303,0.00026766383581179,601-1000
527,Secondary,GA-303,0.0005353276716236699,601-1000
528,Secondary,GA-303,0.0002406269119923,601-1000
530,Secondary,GA-303,0.0011238282900927,601-1000
531,Primary,GA-303,0.00144466417274913,601-1000
532,Primary,GA-303,0.00171232890856173,601-1000
534,Primary,GA-303,0.00040104575332128,601-1000
535,Secondary,GA-303,0.0010436193194285702,601-1000
537,Secondary,GA-303,0.00066870958913307,601-1000
538,Secondary,GA-303,8.019007064745225e-05,601-1000
539,Secondary,GA-303,0.00093637342494495,601-1000
540,Primary,GA-303,0.00048125472398541,601-1000
541,Secondary,GA-303,0.00032083588265634,601-1000
542,Secondary,GA-303,0.00018745486514766,601-1000
543,Secondary,GA-303,0.0005623645954431599,601-1000
544,Secondary,GA-303,0.00061553664228771,601-1000
545,Secondary,GA-303,2.700002378702096e-05,601-1000
546,Secondary,GA-303,0.0005623645954431599,601-1000
547,Primary,GA-303,0.00034787280647592,601-1000
548,Secondary,GA-303,0.00040104575332128,601-1000
549,Secondary,GA-303,0.00101658239560908,601-1000
550,Primary,GA-303,0.00139149212590449,601-1000
551,Primary,GA-303,0.00171232890856173,601-1000
553,Primary,GA-303,0.00219448453334085,601-1000
554,Primary,GA-303,0.0024621483691526403,601-1000
557,Secondary,GA-303,0.0002406269119923,1001-1400
558,Secondary,GA-303,0.0005353276716236699,601-1000
559,Primary,GA-303,0.00045511870095954,601-1000
560,Primary,GA-303,0.00034787280647592,601-1000
561,Secondary,GA-303,0.00013338101750859,601-1000
562,Secondary,GA-303,8.019007064745225e-05,601-1000
563,Primary,GA-303,0.00045511870095954,601-1000
564,Secondary,GA-303,0.00042808177713996005,1001-1400
565,Secondary,GA-303,0.0002406269119923,1001-1400
566,Secondary,GA-303,0.00010724589448361999,1001-1400
567,Secondary,GA-303,0.00026766383581179,1001-1400
570,Secondary,GA-303,0.00040104575332128,601-1000
571,Secondary,GA-303,0.00091023740191908,601-1000
572,Secondary,GA-303,5.31900468604313e-05,1001-1400
573,Secondary,GA-303,8.019007064745225e-05,1001-1400
574,Secondary,GA-303,8.019007064745225e-05,1001-1400
575,Tertiary,GA-303,0.00010724589448361999,1001-1400
576,Tertiary,GA-303,0.00010724589448361999,1001-1400
577,Tertiary,GA-303,0.00037490973029541,1001-1400
580,Secondary,GA-303,0.00010724589448361999,1001-1400
581,Secondary,GA-303,0.00029470075963128,1001-1400
582,Secondary,GA-303,0.00045511870095954,1001-1400
583,Tertiary,GA-303,0.00013338101750859,1001-1400
584,Secondary,GA-303,0.00010724589448361999,1001-1400
585,Tertiary,GA-303,0.0005623645954431599,1001-1400
586,Tertiary,GA-303,8.019007064745225e-05,1001-1400
587,Tertiary,GA-303,0.0005623645954431599,1001-1400
588,Tertiary,GA-303,0.00013338101750859,1401-1800
590,Tertiary,GA-303,0.00016041794132817,1401-1800
591,Tertiary,GA-303,0.00016041794132817,1401-1800
592,Tertiary,GA-303,2.700002378702096e-05,1401-1800
593,Tertiary,GA-303,2.700002378702096e-05,1401-1800
594,Tertiary,GA-303,0.00032083588265634,1401-1800
595,Tertiary,GA-303,2.700002378702096e-05,1401-1800
596,Secondary,GA-303,0.00018745486514766,1401-1800
597,Secondary,GA-303,0.0005082916478049,1401-1800
598,Secondary,GA-303,0.00072278253677133,1401-1800
599,Tertiary,GA-303,0.00018745486514766,>1800
600,Primary,GA-303,0.00363914870608998,601-1000
601,Primary,GA-303,0.00406723138323084,301-600
602,Primary,GA-303,0.00018745486514766,301-600
603,Primary,GA-303,0.00016041794132817,301-600
604,Primary,GA-303,0.0033985217940976802,301-600
605,Primary,GA-303,0.00294340309313805,301-600
606,Primary,GA-303,0.0077334161131395905,301-600
607,Primary,GA-303,0.00066870958913307,301-600
608,Primary,GA-303,0.0005082916478049,301-600
609,Primary,GA-303,0.00026766383581179,301-600
610,Primary,GA-303,0.00125811110839581,601-1000
611,Primary,GA-303,0.0007489185597972,601-1000
